id,bayonet
1,132221
2,84573
3,61614
4,49250
5,45950
6,61555
7,166440
8,541101
9,736842
10,766950
11,664212
12,649061
13,628472
14,579082
15,742150
16,638836
17,610852
18,724133
19,654819
20,481523
21,396590
22,360186
23,271005
24,271005
